name,gender,number,class,email
Adam Benali,Male,22123456,L1,adam.benali1@example.com
Amina Haddad,Female,22123457,L1,amina.haddad2@example.com
Karim Mansour,Male,22123458,L2,karim.mansour3@example.com
Lina Saidi,Female,22123459,L2,lina.saidi4@example.com
Youssef Ghazi,Male,22123460,L3,youssef.ghazi5@example.com
Salma Trabelsi,Female,22123461,L3,salma.trabelsi6@example.com
Omar Khelifi,Male,22123462,M1,omar.khelifi7@example.com
Nadia Chikhi,Female,22123463,M1,nadia.chikhi8@example.com
Rami Jaziri,Male,22123464,M2,rami.jaziri9@example.com
Meriem Amri,Female,22123465,M2,meriem.amri10@example.com
Hatem Feki,Male,22123466,L1,hatem.feki11@example.com
Rania Meddeb,Female,22123467,L1,rania.meddeb12@example.com
Sami Krichen,Male,22123468,L2,sami.krichen13@example.com
Nesrine Boughzala,Female,22123469,L2,nesrine.boughzala14@example.com
Walid BenSalah,Male,22123470,L3,walid.bensalah15@example.com
Ines Gharbi,Female,22123471,L3,ines.gharbi16@example.com
Mehdi Zouari,Male,22123472,M1,mehdi.zouari17@example.com
Sahar BenMustapha,Female,22123473,M1,sahar.benmustapha18@example.com
Tarek Ajmi,Male,22123474,M2,tarek.ajmi19@example.com
Mouna Louati,Female,22123475,M2,mouna.louati20@example.com
